OID_,Aspect,MTSFG,ALT,Wind,Tem,Sun,Pre,NDVI,Night,GPP,ET,Disturb,Water,Road,Rail,CLCD,Sand,Clay,Silt,Slope,long,lat,Relief,Erosion,Rock,DEM,Frozen2005
50,12.6861,0.0,1.84116,2.22732,-10.1083,3.96278,1099.53,0.0340817,2.4,7.17092,143.368,0.210196,2795.08,17738.4,116090.0,7.0,0.0,0.0,0.0,57.1574,90.2574,28.2225,119.0,22.0,82.0,5772.0,1.84116
51,245.708,0.0,1.53251,2.2257,-10.765,3.96132,1100.93,0.021275,1.2,1.39565,156.124,0.272696,3783.19,17283.3,115802.0,7.0,0.0,0.0,0.0,33.5898,90.2672,28.2238,49.0,22.0,124.0,5638.0,1.53251
52,277.258,0.0,1.21918,2.22406,-13.545,3.95986,1102.36,-0.0141367,0.8,0.956522,153.819,0.290317,4776.24,16874.9,115521.0,6.0,80.0,8.0,12.0,15.9533,90.2777,28.2251,26.0,22.0,-1.0,5999.0,1.21918
53,236.474,0.0,1.21918,2.22242,-15.495,3.9584,1103.81,-0.0619767,1.2,0.0,157.0,0.1925,5771.7,16507.6,115248.0,6.0,0.0,0.0,0.0,12.01,90.2878,28.2264,17.0,31.0,-1.0,6162.0,1.21918
54,254.722,0.0,0.601332,2.22078,-16.785,3.95694,1105.28,-0.0504567,1.2,0.0,157.0,0.0,6768.49,16175.9,114983.0,6.0,0.0,0.0,0.0,8.22261,90.2979,28.2277,10.0,31.0,-1.0,6389.0,0.601332
55,127.951,0.0,1.86585,2.23808,-7.89667,3.96838,1090.08,0.0789883,4.6,11.1689,154.912,0.251269,901.388,19529.0,116379.0,4.0,0.0,0.0,0.0,24.7864,90.21530000000001,28.2264,42.0,22.0,83.0,5579.0,1.86585
56,130.108,0.0,2.01589,2.23648,-7.27833,3.96692,1091.4,0.00993667,1.2,0.808696,147.538,0.331579,559.017,18856.3,116056.0,6.0,0.0,0.0,0.0,8.0467,90.2254,28.2277,11.0,22.0,-1.0,5371.0,2.01589
57,281.79,0.0,1.88933,2.23488,-6.92333,3.96546,1092.75,-0.097205,1.6,0.426087,147.238,0.116175,901.388,18243.9,115741.0,6.0,0.0,0.0,0.0,3.64594,90.2352,28.229,4.0,22.0,-1.0,5344.0,1.88933
58,36.156,0.0,1.71305,2.23327,-7.46833,3.964,1094.11,-0.0607817,6.2,1.34311,107.374,0.0464701,1820.03,17680.9,115434.0,6.0,0.0,0.0,0.0,5.40359,90.24570000000001,28.2303,8.0,22.0,-1.0,5377.0,1.71305
59,171.168,0.0,1.39152,2.23166,-9.20833,3.96254,1095.5,0.0677133,2.6,7.21663,153.629,0.255775,2795.08,17177.5,115135.0,7.0,0.0,0.0,0.0,31.3757,90.2558,28.2316,38.0,22.0,79.0,5717.0,1.39152
